"","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS"
"Country"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","&lt;500 [&lt;200–1400]","&lt;500 [&lt;200–1300]","&lt;500 [&lt;200–1200]","&lt;500 [&lt;200–1100]","&lt;500 [&lt;200–980]","&lt;500 [&lt;200–870]","&lt;500 [&lt;200–790]","&lt;500 [&lt;200–690]","&lt;500 [&lt;200–620]","&lt;500 [&lt;200–590]","&lt;500 [&lt;200–530]","&lt;200 [&lt;200–510]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;100 [&lt;100–&lt;500]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]"
"Albania","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Algeria","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Angola","13 000 [9600–16 000]","13 000 [9700–17 000]","11 000 [8500–15 000]","9900 [7300–13 000]","9600 [7000–12 000]","10 000 [7400–13 000]","11 000 [8100–14 000]","11 000 [7900–14 000]","10 000 [7400–13 000]","9400 [7000–12 000]","9000 [6800–12 000]","8600 [6400–11 000]","8200 [6200–11 000]","8400 [6300–11 000]","7800 [6000–10 000]","6900 [5300–9000]","6100 [4600–8000]","5300 [3900–7000]","4500 [3300–6100]","3800 [2800–5400]"
"Argentina","1400 [920–2300]","1400 [910–2300]","1400 [910–2200]","1400 [930–2300]","1400 [930–2200]","1300 [910–2000]","1300 [930–2000]","1300 [980–1900]","1400 [1000–2000]","1400 [1000–2000]","1400 [1000–2000]","1400 [1100–2100]","1400 [1100–2200]","1400 [1100–2100]","1300 [1000–2000]","1300 [1000–2000]","1300 [980–1900]","1200 [950–1800]","1200 [930–1800]","1200 [930–1700]"
"Armenia","&lt;100 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Australia","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;500]"
"Austria","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Azerbaijan","&lt;500 [&lt;200–660]","&lt;500 [&lt;500–670]","&lt;500 [&lt;500–670]","&lt;500 [&lt;500–670]","&lt;500 [&lt;500–730]","&lt;500 [&lt;500–730]","540 [&lt;500–770]","570 [&lt;500–820]","560 [&lt;500–830]","560 [&lt;500–840]","560 [&lt;500–860]","560 [&lt;500–870]","540 [&lt;500–880]","&lt;500 [&lt;500–840]","&lt;500 [&lt;200–780]","&lt;500 [&lt;200–710]","&lt;500 [&lt;100–620]","&lt;500 [&lt;100–520]","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]"
