,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","Data source","All types","0.01","0.03","0.02","0.03","0.02","","","","",""
"Albania","Data source","All types","5.79","5.56","5.46","5.17","4.98","4.42","4.33","3.96","4.51","3.92"
"Algeria","Data source","All types","0.43","0.37","0.34","0.38","0.50","0.45","0.33","0.36","0.23","0.25"
"Andorra","Data source","All types","10.86","10.96","11.53","11.89","11.82","12.23","12.25","12.16","13.08","12.77"
"Angola","Data source","All types","6.12","5.19","4.68","4.02","3.49","2.41","2.20","2.08","1.94","1.47"
"Antigua and Barbuda","Data source","All types","7.64","8.41","8.11","7.70","7.44","6.72","6.91","6.67","6.85","6.86"
"Argentina","Data source","All types","8.34","8.42","8.16","7.80","7.60","7.63","7.62","7.81","7.76","7.68"
"Armenia","Data source","All types","3.97","3.96","3.91","3.99","4.17","3.73","3.00","2.87","2.87","2.91"
"Australia","Data source","All types","10.62","10.76","10.56","10.31","10.30","9.84","9.97","9.84","9.53","10.17"
"Austria","Data source","All types","11.87","12.03","12.54","12.58","12.14","12.17","12.31","12.09","12.35","13.35"
"Azerbaijan","Data source","All types","1.92","1.12","0.95","0.85","0.73","0.63","0.55","0.55","0.50","0.66"
"Bahamas","Data source","All types","8.75","9.65","9.92","9.82","9.83","9.61","10.59","10.94","11.38","11.93"
"Bahrain","Data source","All types","1.95","1.99","1.83","1.94","1.92","1.98","2.04","1.87","1.89","1.97"
"Bangladesh","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01"
"Barbados","Data source","All types","8.24","8.63","8.07","8.12","7.84","7.43","7.51","7.59","7.42","7.31"
"Belarus","Data source","All types","13.98","14.58","13.91","12.61","11.19","12.08","11.17","11.78","10.74","12.92"
"Belgium","Data source","All types","10.10","10.51","13.43","10.94","12.21","12.05","11.28","11.29","11.01","11.21"
"Belize","Data source","All types","6.44","6.95","6.99","6.28","6.10","6.07","5.63","4.92","4.77","4.70"
"Benin","Data source","All types","1.26","1.38","1.23","1.29","1.24","1.25","1.46","1.34","1.39","1.44"
"Bhutan","Data source","All types","0.15","0.16","0.15","0.28","0.73","0.97","0.53","0.30","1.42","1.66"
"Bolivia (Plurinational State of)","Data source","All types","3.64","3.51","3.38","3.13","2.80","2.61","2.32","2.24","2.19","2.30"
"Bosnia and Herzegovina","Data source","All types","4.69","5.03","5.03","4.72","4.50","4.38","4.29","4.08","4.11","3.87"
"Botswana","Data source","All types","5.36","7.52","6.87","7.14","6.38","4.91","5.63","6.43","5.50","5.38"
"Brazil","Data source","All types","6.95","6.83","6.91","6.93","6.76","6.70","6.84","7.02","7.18","7.30"
"Brunei Darussalam","Data source","All types","0.24","0.65","0.83","0.63","0.14","0.09","0.11","0.12","0.44","0.35"
"Bulgaria","Data source","All types","10.53","10.73","10.66","10.18","10.22","10.70","10.92","10.80","11.07","10.26"
"Burkina Faso","Data source","All types","5.52","5.47","5.55","5.67","5.87","5.51","5.57","5.48","5.53","4.51"
"Burundi","Data source","All types","4.49","4.80","5.03","4.99","6.07","6.24","6.37","6.51","6.62","7.17"
"Cabo Verde","Data source","All types","4.20","4.25","5.40","4.36","4.32","4.25","4.21","3.87","3.86","3.49"
"Cambodia","Data source","All types","1.42","1.35","1.29","1.18","1.10","0.90","0.84","0.75","0.62","0.60"
"Cameroon","Data source","All types","5.72","5.50","5.22","5.10","4.90","4.69","4.60","4.54","4.38","3.89"
"Canada","Data source","All types","8.40","8.40","8.30","8.20","8.00","","","","",""
"Central African Republic","Data source","All types","1.66","1.73","1.69","1.70","1.57","1.60","1.61","1.60","1.67","1.68"
"Chad","Data source","All types","0.67","0.64","0.58","0.49","0.46","0.42","0.46","0.40","0.34","0.30"
"Chile","Data source","All types","7.67","7.31","7.39","7.33","7.57","6.32","6.37","6.06","6.10","6.24"
