,"Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)"
,"2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Country","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"Afghanistan","1.0 [0.4-2.0]","0.9 [0.4-1.8]","1.1 [0.5-2.2]","1.0 [0.4-1.9]","1.1 [0.4-2.1]","1.2 [0.5-2.5]","1.5 [0.6-3.0]","1.5 [0.6-3.0]","1.6 [0.7-3.3]","1.7 [0.7-3.5]","1.8 [0.7-3.7]","1.9 [0.8-3.8]","1.9 [0.8-3.9]","1.9 [0.8-3.9]","2.3 [0.9-4.7]","2.4 [1.0-5.1]","2.5 [1.0-5.2]","2.3 [0.9-4.9]","2.0 [0.7-4.2]","2.1 [0.8-4.4]"
"Albania","0.3 [0.2-0.5]","0.3 [0.2-0.5]","0.3 [0.2-0.5]","0.3 [0.2-0.5]","0.3 [0.2-0.5]","0.3 [0.2-0.5]","0.4 [0.2-0.6]","0.4 [0.2-0.6]","0.5 [0.3-0.8]","0.5 [0.3-0.8]","0.5 [0.3-0.8]","0.5 [0.3-0.8]","0.6 [0.4-0.8]","0.5 [0.3-0.8]","0.6 [0.4-0.9]","0.5 [0.3-0.8]","0.6 [0.4-0.9]","0.7 [0.4-1.0]","0.7 [0.4-1.1]","0.8 [0.4-1.2]"
"Algeria","0.7 [0.2-1.4]","0.7 [0.2-1.4]","0.7 [0.2-1.4]","0.7 [0.3-1.5]","0.7 [0.3-1.6]","0.8 [0.3-1.6]","0.8 [0.3-1.6]","0.8 [0.3-1.6]","0.8 [0.3-1.7]","0.8 [0.3-1.7]","0.8 [0.3-1.7]","0.9 [0.3-1.8]","0.9 [0.3-1.9]","1.0 [0.4-2.0]","1.0 [0.4-2.1]","1.0 [0.4-2.2]","1.0 [0.4-2.1]","1.1 [0.4-2.3]","1.1 [0.4-2.3]","1.2 [0.4-2.4]"
"Angola","2.0 [0.8-4.4]","2.0 [0.8-4.4]","2.1 [0.8-4.6]","2.2 [0.9-4.8]","2.4 [0.9-5.0]","2.4 [0.9-4.9]","2.6 [1.1-5.4]","2.8 [1.1-5.6]","2.8 [1.2-5.7]","3.0 [1.2-6.0]","3.0 [1.2-6.0]","3.3 [1.4-6.7]","3.4 [1.4-6.8]","3.6 [1.5-7.3]","3.6 [1.5-7.3]","3.7 [1.5-7.6]","3.7 [1.5-7.8]","3.6 [1.4-7.7]","3.5 [1.4-7.5]","3.6 [1.4-7.7]"
"Antigua and Barbuda","0.7 [0.5-1.0]","0.8 [0.5-1.0]","1.1 [0.8-1.5]","0.8 [0.5-1.1]","0.6 [0.4-0.8]","0.6 [0.5-0.8]","0.6 [0.5-0.8]","0.0 [0.0-0.0]","0.7 [0.5-0.9]","0.7 [0.5-1.0]","1.0 [0.7-1.4]","0.8 [0.6-1.2]","0.3 [0.2-0.4]","0.1 [0.0-0.1]","0.1 [0.0-0.1]","0.7 [0.5-1.0]","1.0 [0.7-1.4]","1.0 [0.7-1.3]","0.5 [0.4-0.6]","0.3 [0.2-0.4]"
"Argentina","0.4 [0.3-0.6]","0.5 [0.4-0.7]","0.5 [0.3-0.7]","0.4 [0.3-0.6]","0.5 [0.4-0.7]","0.6 [0.4-0.7]","0.7 [0.5-0.9]","0.6 [0.5-0.8]","0.6 [0.5-0.8]","0.6 [0.4-0.7]","0.6 [0.4-0.7]","0.5 [0.4-0.7]","0.8 [0.6-1.0]","0.5 [0.4-0.6]","1.0 [0.8-1.2]","0.6 [0.4-0.7]","0.5 [0.4-0.7]","0.6 [0.4-0.7]","0.5 [0.4-0.6]","0.6 [0.4-0.7]"
"Armenia","0.7 [0.5-0.9]","0.7 [0.5-0.9]","0.9 [0.6-1.2]","0.8 [0.6-1.1]","0.9 [0.7-1.2]","1.3 [0.9-1.7]","0.8 [0.6-1.1]","1.1 [0.8-1.5]","0.6 [0.4-0.8]","1.2 [0.8-1.6]","0.8 [0.6-1.0]","1.3 [0.9-1.7]","1.2 [0.9-1.6]","1.4 [1.0-1.9]","1.2 [0.9-1.6]","1.1 [0.8-1.5]","1.1 [0.8-1.4]","1.1 [0.8-1.5]","1.1 [0.8-1.5]","1.0 [0.7-1.3]"
